# Generated by Autoplot on Sun Apr 07 06:31:09 CDT 2019
 dep0(UTC), data
2017-10-01T12:00:00.000Z, 0.0
2017-10-01T19:04:04.660Z, 0.010056
2017-10-02T02:08:09.320Z, 0.020112
2017-10-02T09:12:13.981Z, 0.030165
2017-10-02T16:16:18.641Z, 0.040215
2017-10-02T23:20:23.301Z, 0.050261
2017-10-03T06:24:27.961Z, 0.060302
2017-10-03T13:28:32.621Z, 0.070337
2017-10-03T20:32:37.282Z, 0.080365
2017-10-04T03:36:41.942Z, 0.090385
2017-10-04T10:40:46.602Z, 0.10040
2017-10-04T17:44:51.262Z, 0.11040
2017-10-05T00:48:55.922Z, 0.12038
2017-10-05T07:53:00.583Z, 0.13036
2017-10-05T14:57:05.243Z, 0.14033
2017-10-05T22:01:09.903Z, 0.15028
2017-10-06T05:05:14.563Z, 0.16021
2017-10-06T12:09:19.223Z, 0.17013
2017-10-06T19:13:23.883Z, 0.18003
2017-10-07T02:17:28.544Z, 0.18991
2017-10-07T09:21:33.204Z, 0.19978
2017-10-07T16:25:37.864Z, 0.20962
2017-10-07T23:29:42.524Z, 0.21944
2017-10-08T06:33:47.184Z, 0.22924
2017-10-08T13:37:51.845Z, 0.23902
2017-10-08T20:41:56.505Z, 0.24877
2017-10-09T03:46:01.165Z, 0.25850
2017-10-09T10:50:05.825Z, 0.26820
2017-10-09T17:54:10.485Z, 0.27787
2017-10-10T00:58:15.146Z, 0.28752
2017-10-10T08:02:19.806Z, 0.29714
2017-10-10T15:06:24.466Z, 0.30672
2017-10-10T22:10:29.126Z, 0.31628
2017-10-11T05:14:33.786Z, 0.32580
2017-10-11T12:18:38.447Z, 0.33530
2017-10-11T19:22:43.107Z, 0.34475
2017-10-12T02:26:47.767Z, 0.35418
2017-10-12T09:30:52.427Z, 0.36356
2017-10-12T16:34:57.087Z, 0.37291
2017-10-12T23:39:01.748Z, 0.38222
2017-10-13T06:43:06.408Z, 0.39150
2017-10-13T13:47:11.068Z, 0.40073
2017-10-13T20:51:15.728Z, 0.40992
2017-10-14T03:55:20.388Z, 0.41908
2017-10-14T10:59:25.049Z, 0.42819
2017-10-14T18:03:29.709Z, 0.43725
2017-10-15T01:07:34.369Z, 0.44627
2017-10-15T08:11:39.029Z, 0.45525
2017-10-15T15:15:43.689Z, 0.46418
2017-10-15T22:19:48.350Z, 0.47306
2017-10-16T05:23:53.010Z, 0.48190
2017-10-16T12:27:57.670Z, 0.49069
2017-10-16T19:32:02.330Z, 0.49943
2017-10-17T02:36:06.990Z, 0.50811
2017-10-17T09:40:11.650Z, 0.51675
2017-10-17T16:44:16.311Z, 0.52533
2017-10-17T23:48:20.971Z, 0.53386
2017-10-18T06:52:25.631Z, 0.54234
2017-10-18T13:56:30.291Z, 0.55076
2017-10-18T21:00:34.951Z, 0.55913
2017-10-19T04:04:39.612Z, 0.56743
2017-10-19T11:08:44.272Z, 0.57569
2017-10-19T18:12:48.932Z, 0.58388
2017-10-20T01:16:53.592Z, 0.59201
2017-10-20T08:20:58.252Z, 0.60009
2017-10-20T15:25:02.913Z, 0.60810
2017-10-20T22:29:07.573Z, 0.61606
2017-10-21T05:33:12.233Z, 0.62395
2017-10-21T12:37:16.893Z, 0.63177
2017-10-21T19:41:21.553Z, 0.63954
2017-10-22T02:45:26.214Z, 0.64724
2017-10-22T09:49:30.874Z, 0.65487
2017-10-22T16:53:35.534Z, 0.66244
2017-10-22T23:57:40.194Z, 0.66994
2017-10-23T07:01:44.854Z, 0.67737
2017-10-23T14:05:49.515Z, 0.68473
2017-10-23T21:09:54.175Z, 0.69203
2017-10-24T04:13:58.835Z, 0.69925
2017-10-24T11:18:03.495Z, 0.70640
2017-10-24T18:22:08.155Z, 0.71349
2017-10-25T01:26:12.816Z, 0.72050
2017-10-25T08:30:17.476Z, 0.72743
2017-10-25T15:34:22.136Z, 0.73430
2017-10-25T22:38:26.796Z, 0.74109
2017-10-26T05:42:31.456Z, 0.74780
2017-10-26T12:46:36.117Z, 0.75444
2017-10-26T19:50:40.777Z, 0.76100
2017-10-27T02:54:45.437Z, 0.76749
2017-10-27T09:58:50.097Z, 0.77389
2017-10-27T17:02:54.757Z, 0.78022
