# Generated by Autoplot on Mon Mar 25 10:51:53 CDT 2019
# TITLE: MMS2/EDP  Spacecraft potential
# TITLE: MMS2/EDP  Spacecraft potential
# UNITS: V
 mms2_edp_epoch_brst_l2(UTC), ScPot(V)
2016-05-05T12:54:58.002232668, 13.217
2016-05-05T12:54:58.002293703, 13.219
2016-05-05T12:54:58.002354739, 13.216
2016-05-05T12:54:58.002415775, 13.218
2016-05-05T12:54:58.002476811, 13.214
2016-05-05T12:54:58.002537847, 13.218
2016-05-05T12:54:58.002598882, 13.218
2016-05-05T12:54:58.002659918, 13.216
2016-05-05T12:54:58.002720954, 13.218
2016-05-05T12:54:58.002781990, 13.222
