# Generated by Autoplot on Fri Nov 06 12:43:43 CST 2020
time(UTC), data1(eV), data2(cm), data3
2015-01-01T00:00:00.000Z, -2.658e-13,   1.000, on1
2015-01-01T00:01:00.000Z, -1.800e-13,   0.967, on1
2015-01-01T00:02:00.000Z,  4.020e-14,   0.933, off
2015-01-01T00:03:00.000Z,  3.477e-13,   0.900, on1
2015-01-01T00:04:00.000Z,  6.277e-13,   0.867, on1
2015-01-01T00:05:00.000Z,  7.231e-13,   0.833, off
2015-01-01T00:06:00.000Z,  4.946e-13,   0.800, off
2015-01-01T00:07:00.000Z, -9.962e-14,   0.767, off
2015-01-01T00:08:00.000Z, -9.340e-13,   0.733, on1
2015-01-01T00:09:00.000Z, -1.699e-12,   0.700, on1
2015-01-01T00:10:00.000Z, -1.967e-12,   0.667, on1
2015-01-01T00:11:00.000Z, -1.360e-12,   0.633, on1
2015-01-01T00:12:00.000Z,  2.427e-13,   0.600, on1
2015-01-01T00:13:00.000Z, -1.000e+31,   0.567, on1
2015-01-01T00:14:00.000Z,  4.594e-12,   0.533, on1
2015-01-01T00:15:00.000Z,  5.352e-12,   0.500, off
2015-01-01T00:16:00.000Z,  3.740e-12,   0.467, on1
2015-01-01T00:17:00.000Z, -5.776e-13,   0.433, on1
2015-01-01T00:18:00.000Z, -6.715e-12,   0.400, on1
2015-01-01T00:19:00.000Z, -1.242e-11,   0.367, on1
2015-01-01T00:20:00.000Z, -1.456e-11,   0.333, on1
2015-01-01T00:21:00.000Z, -1.030e-11,   0.300, on1
2015-01-01T00:22:00.000Z,  1.330e-12,   0.267, on1
2015-01-01T00:23:00.000Z,  1.797e-11,   0.233, on1
2015-01-01T00:24:00.000Z,  3.356e-11,   0.200, on1
2015-01-01T00:25:00.000Z,  3.961e-11,   0.167, on1
2015-01-01T00:26:00.000Z,  2.836e-11,   0.133, on1
2015-01-01T00:27:00.000Z, -2.913e-12,   0.100, on1
2015-01-01T00:28:00.000Z, -4.800e-11,   0.067, on1
2015-01-01T00:29:00.000Z, -9.061e-11,   0.033, on1
2015-01-01T00:30:00.000Z, -1.077e-10,   0.000, on1
2015-01-01T00:31:00.000Z, -7.816e-11,   0.033, on1
2015-01-01T00:32:00.000Z,  5.851e-12,   0.067, on1
2015-01-01T00:33:00.000Z,  1.280e-10,   0.100, on1
2015-01-01T00:34:00.000Z,  2.445e-10,   0.133, on1
2015-01-01T00:35:00.000Z,  2.930e-10,   0.167, on1
2015-01-01T00:36:00.000Z,  2.156e-10,   0.200, on1
2015-01-01T00:37:00.000Z, -9.811e-12,   0.233, on1
2015-01-01T00:38:00.000Z, -3.405e-10,   0.267, on1
2015-01-01T00:39:00.000Z, -6.590e-10,   0.300, on1
2015-01-01T00:40:00.000Z, -7.968e-10,   0.333, on1
2015-01-01T00:41:00.000Z, -5.953e-10,   0.367, on1
2015-01-01T00:42:00.000Z,  8.641e-12,   0.400, on1
2015-01-01T00:43:00.000Z,  9.034e-10,   0.433, on1
2015-01-01T00:44:00.000Z,  1.775e-09,   0.467, on1
2015-01-01T00:45:00.000Z,  2.166e-09,   0.500, on1
2015-01-01T00:46:00.000Z,  1.645e-09,   0.533, on1
2015-01-01T00:47:00.000Z,  3.002e-11,   0.567, on1
2015-01-01T00:48:00.000Z, -2.389e-09,   0.600, on1
2015-01-01T00:49:00.000Z, -4.773e-09,   0.633, on1
2015-01-01T00:50:00.000Z, -5.889e-09,   0.667, on1
2015-01-01T00:51:00.000Z, -4.550e-09,   0.700, on1
2015-01-01T00:52:00.000Z, -2.410e-10,   0.733, on1
2015-01-01T00:53:00.000Z,  6.294e-09,   0.767, on1
2015-01-01T00:54:00.000Z,  1.282e-08,   0.800, on1
2015-01-01T00:55:00.000Z,  1.600e-08,   0.833, on1
2015-01-01T00:56:00.000Z,  1.260e-08,   0.867, on1
