time, rand, mode
2019-01-01T18:00:00.000Z, 0.000000, "operations normal"
2019-01-01T18:01:00.000Z, 0.105263, "operations normal
shutdown"
2019-01-01T18:02:00.000Z, 0.210526, "c1"
2019-01-01T18:03:00.000Z, 0.395789, "c 2"
2019-01-01T18:04:00.000Z, 0.421053, "operations normal"
2019-01-01T18:05:00.000Z, 0.526316, "operations normal
shutdown"
2019-01-01T18:06:00.000Z, 0.611579, "c1"
2019-01-01T18:07:00.000Z, 0.736842, "c 2"
2019-01-01T18:08:00.000Z, 0.842105, "operations normal"
2019-01-01T18:09:00.000Z, 0.937368, "operations normal
shutdown"
2019-01-01T18:10:00.000Z, 0.052632, "c1"
2019-01-01T18:11:00.000Z, 0.127895, "c 2"
2019-01-01T18:12:00.000Z, 0.263158, "operations normal"
2019-01-01T18:13:00.000Z, 0.368421, "operations normal
shutdown"
2019-01-01T18:14:00.000Z, 0.273684, "c1"
2019-01-01T18:15:00.000Z, 0.578947, "c 2"
2019-01-01T18:16:00.000Z, 0.684211, "operations normal"
2019-01-01T18:17:00.000Z, 0.789474, "operations normal
shutdown"
2019-01-01T18:18:00.000Z, 0.844737, "c1"
2019-01-01T18:19:00.000Z, 0.000000, "c 2"
