time;saw;exp
2019-01-01T18:00:00.000Z;0.000000;1.000000e+000
2019-01-01T18:01:00.000Z;0.105263;1.832981e+000
2019-01-01T18:02:00.000Z;0.210526;3.359818e+000
2019-01-01T18:03:00.000Z;0.315789;6.158482e+000
2019-01-01T18:04:00.000Z;0.421053;1.128838e+001
2019-01-01T18:05:00.000Z;0.526316;2.069138e+001
2019-01-01T18:06:00.000Z;0.631579;3.792690e+001
2019-01-01T18:07:00.000Z;0.736842;6.951928e+001
2019-01-01T18:08:00.000Z;0.842105;1.274275e+002
2019-01-01T18:09:00.000Z;0.947368;2.335721e+002
2019-01-01T18:10:00.000Z;0.052632;4.281332e+002
2019-01-01T18:11:00.000Z;0.157895;7.847600e+002
2019-01-01T18:12:00.000Z;0.263158;1.438450e+003
2019-01-01T18:13:00.000Z;0.368421;2.636651e+003
2019-01-01T18:14:00.000Z;0.473684;4.832930e+003
2019-01-01T18:15:00.000Z;0.578947;8.858668e+003
2019-01-01T18:16:00.000Z;0.684211;1.623777e+004
2019-01-01T18:17:00.000Z;0.789474;2.976351e+004
2019-01-01T18:18:00.000Z;0.894737;5.455595e+004
2019-01-01T18:19:00.000Z;0.000000;1.000000e+005
