# Generated by Autoplot on Wed Jan 20 14:20:53 CST 2021
time(UTC), y(Hz), BMag(nT), Fce(Hz), Fci(Hz), Fpe(Hz), Fpe_Fce, Fuhr(Hz), Flhr(Hz), F_L0(Hz), F_R0(Hz), N_e(cm!a-3!n), markedType, visualFeature, qualityIndex, comment, mlat(degrees), longitude(degrees), mshell, radius(Rj)
2016-12-11T17:30:51.708Z, 4687.5, 2.65560E5, 7.43570E6, 4049.9, 1.01140E5, 0.013602, 7.43640E6, 4687.5, 5425.4, 7.43710E6, 126.85, Flhr, bottom, f, v20201216a, -63.5, 22.27, 6.05, 1.39
2016-12-11T17:30:52.685Z, 4834.0, 2.65440E5, 7.43220E6, 4048.1, 1.13220E5, 0.015234, 7.43310E6, 4834.0, 5772.4, 7.43400E6, 158.97, Flhr, bottom, f, v20201216a, -63.53, 22.28, 6.06, 1.39
2016-12-11T17:30:53.662Z, 4785.2, 2.65310E5, 7.42870E6, 4046.1, 1.09480E5, 0.014737, 7.42950E6, 4785.2, 5659.2, 7.43030E6, 148.63, Flhr, bottom, f, v20201216a, -63.55, 22.29, 6.08, 1.39
2016-12-11T17:30:54.685Z, 4931.6, 2.65190E5, 7.42520E6, 4044.2, 1.20950E5, 0.016289, 7.42620E6, 4931.6, 6013.9, 7.42720E6, 181.4, Flhr, bottom, f, v20201216a, -63.58, 22.3, 6.1, 1.39
2016-12-11T17:30:54.685Z, 4931.6, 2.65190E5, 7.42520E6, 4044.2, 1.20950E5, 0.016289, 7.42620E6, 4931.6, 6013.9, 7.42720E6, 181.4, Flhr, bottom, f, v20201216a, -63.58, 22.3, 6.1, 1.39
2016-12-11T17:30:55.662Z, 4980.5, 2.65050E5, 7.42150E6, 4042.2, 1.24690E5, 0.016801, 7.42250E6, 4980.5, 6136.5, 7.42360E6, 192.8, Flhr, bottom, f, v20201216a, -63.6, 22.31, 6.11, 1.39
2016-12-11T17:30:56.673Z, 4980.5, 2.64930E5, 7.41810E6, 4040.3, 1.24800E5, 0.016824, 7.41910E6, 4980.5, 6139.3, 7.42020E6, 193.14, Flhr, bottom, f, v20201216a, -63.63, 22.32, 6.13, 1.39
2016-12-11T17:30:57.685Z, 5078.1, 2.64790E5, 7.41400E6, 4038.1, 1.31960E5, 0.017798, 7.41520E6, 5078.1, 6386.1, 7.41630E6, 215.93, Flhr, bottom, f, v20201216a, -63.65, 22.33, 6.14, 1.39
2016-12-11T17:30:58.662Z, 5127.0, 2.64670E5, 7.41070E6, 4036.3, 1.35480E5, 0.018282, 7.41190E6, 5127.0, 6512.3, 7.41320E6, 227.61, Flhr, bottom, f, v20201216a, -63.68, 22.34, 6.16, 1.39
2016-12-11T17:30:59.673Z, 5175.8, 2.64530E5, 7.40690E6, 4034.3, 1.38960E5, 0.018761, 7.40820E6, 5175.8, 6640.3, 7.40950E6, 239.45, Flhr, bottom, f, v20201216a, -63.7, 22.35, 6.17, 1.39
2016-12-11T17:31:00.685Z, 5273.4, 2.64400E5, 7.40310E6, 4032.2, 1.45650E5, 0.019675, 7.40450E6, 5273.4, 6896.6, 7.40600E6, 263.08, Flhr, bottom, f, v20201216a, -63.73, 22.36, 6.19, 1.39
2016-12-11T17:31:01.662Z, 5371.1, 2.64280E5, 7.40000E6, 4030.5, 1.52150E5, 0.020561, 7.40150E6, 5371.1, 7157.5, 7.40310E6, 287.08, Flhr, bottom, f, v20201216a, -63.75, 22.37, 6.2, 1.39
2016-12-11T17:31:02.673Z, 5371.1, 2.64160E5, 7.39640E6, 4028.5, 1.52250E5, 0.020584, 7.39800E6, 5371.1, 7161.2, 7.39950E6, 287.44, Flhr, bottom, f, v20201216a, -63.77, 22.38, 6.22, 1.39
2016-12-11T17:31:03.685Z, 5517.6, 2.64020E5, 7.39250E6, 4026.4, 1.61680E5, 0.021872, 7.39420E6, 5517.6, 7560.8, 7.39600E6, 324.18, Flhr, bottom, f, v20201216a, -63.8, 22.39, 6.23, 1.39
2016-12-11T17:31:04.662Z, 5566.4, 2.63900E5, 7.38910E6, 4024.5, 1.64820E5, 0.022305, 7.39090E6, 5566.4, 7699.2, 7.39270E6, 336.86, Flhr, bottom, f, v20201216a, -63.82, 22.4, 6.25, 1.39
2016-12-11T17:31:05.673Z, 5517.6, 2.63760E5, 7.38540E6, 4022.6, 1.61860E5, 0.021916, 7.38720E6, 5517.6, 7568.2, 7.38900E6, 324.89, Flhr, bottom, f, v20201216a, -63.85, 22.41, 6.26, 1.39
2016-12-11T17:31:06.685Z, 5566.4, 2.63640E5, 7.38180E6, 4020.6, 1.64990E5, 0.022351, 7.38370E6, 5566.4, 7706.4, 7.38550E6, 337.58, Flhr, bottom, f, v20201216a, -63.87, 22.43, 6.28, 1.39
2016-12-11T17:31:07.662Z, 5566.4, 2.63510E5, 7.37830E6, 4018.7, 1.65080E5, 0.022374, 7.38010E6, 5566.4, 7710.3, 7.38200E6, 337.93, Flhr, bottom, f, v20201216a, -63.9, 22.44, 6.3, 1.39
2016-12-11T17:31:08.673Z, 5664.1, 2.63380E5, 7.37480E6, 4016.8, 1.71160E5, 0.023209, 7.37670E6, 5664.1, 7987.1, 7.37870E6, 363.28, Flhr, bottom, f, v20201216a, -63.92, 22.45, 6.31, 1.39
2016-12-11T17:31:09.685Z, 5664.1, 2.63270E5, 7.37150E6, 4015.0, 1.71240E5, 0.023229, 7.37350E6, 5664.1, 7990.7, 7.37540E6, 363.61, Flhr, bottom, f, v20201216a, -63.95, 22.46, 6.33, 1.39
2016-12-11T17:31:10.652Z, 5712.9, 2.63130E5, 7.36770E6, 4012.9, 1.74280E5, 0.023654, 7.36980E6, 5712.9, 8133.1, 7.37190E6, 376.64, Flhr, bottom, f, v20201216a, -63.97, 22.47, 6.34, 1.39
2016-12-11T17:31:10.662Z, 5712.9, 2.63130E5, 7.36770E6, 4012.9, 1.74280E5, 0.023655, 7.36970E6, 5712.9, 8133.1, 7.37180E6, 376.65, Flhr, bottom, f, v20201216a, -63.97, 22.47, 6.34, 1.39
2016-12-11T17:31:11.657Z, 5664.1, 2.63030E5, 7.36470E6, 4011.3, 1.71390E5, 0.023272, 7.36670E6, 5664.1, 7997.7, 7.36870E6, 364.28, Flhr, bottom, f, v20201216a, -64.0, 22.48, 6.36, 1.39
2016-12-11T17:31:12.662Z, 5712.9, 2.62900E5, 7.36110E6, 4009.3, 1.74430E5, 0.023696, 7.36310E6, 5712.9, 8140.3, 7.36520E6, 377.31, Flhr, bottom, f, v20201216a, -64.02, 22.49, 6.37, 1.39
2016-12-11T17:31:13.666Z, 5615.2, 2.62770E5, 7.35740E6, 4007.3, 1.68590E5, 0.022914, 7.35940E6, 5615.2, 7868.4, 7.36130E6, 352.45, Flhr, bottom, f, v20201216a, -64.05, 22.5, 6.39, 1.4
2016-12-11T17:31:14.671Z, 5566.4, 2.62640E5, 7.35400E6, 4005.4, 1.65670E5, 0.022528, 7.35580E6, 5566.4, 7735.7, 7.35770E6, 340.35, Flhr, bottom, f, v20201216a, -64.07, 22.51, 6.4, 1.4
2016-12-11T17:31:15.675Z, 5468.7, 2.62510E5, 7.35040E6, 4003.5, 1.59670E5, 0.021723, 7.35210E6, 5468.7, 7470.3, 7.35390E6, 316.15, Flhr, bottom, f, v20201216a, -64.1, 22.52, 6.42, 1.4
2016-12-11T17:31:16.680Z, 5468.7, 2.62390E5, 7.34690E6, 4001.6, 1.59760E5, 0.021745, 7.34860E6, 5468.7, 7474.0, 7.35040E6, 316.5, Flhr, bottom, f, v20201216a, -64.12, 22.53, 6.43, 1.4
2016-12-11T17:31:17.648Z, 5566.4, 2.62270E5, 7.34350E6, 3999.7, 1.65920E5, 0.022595, 7.34530E6, 5566.4, 7746.6, 7.34720E6, 341.4, Flhr, bottom, f, v20201216a, -64.14, 22.54, 6.45, 1.4
2016-12-11T17:31:21.696Z, 5371.1, 2.61750E5, 7.32890E6, 3991.8, 1.54020E5, 0.021015, 7.33050E6, 5371.1, 7227.2, 7.33210E6, 294.16, Flhr, bottom, f, v20201216a, -64.24, 22.58, 6.51, 1.4
2016-12-11T17:31:22.701Z, 5468.7, 2.61600E5, 7.32470E6, 3989.5, 1.60310E5, 0.021886, 7.32650E6, 5468.7, 7496.4, 7.32830E6, 318.7, Flhr, bottom, f, v20201216a, -64.27, 22.59, 6.53, 1.4
2016-12-11T17:31:23.705Z, 5468.7, 2.61500E5, 7.32190E6, 3988.0, 1.60380E5, 0.021905, 7.32360E6, 5468.7, 7499.3, 7.32540E6, 318.98, Flhr, bottom, f, v20201216a, -64.29, 22.6, 6.54, 1.4
