# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
#
# Data in this file are tab-delimeted (http://waterdata.usgs.gov/nwis?tab_delimited_format_info)
#
# All spreadsheet applications should be able to import this format. For Microsoft Excel:
#  - save this page with a .txt extension,
#  - choose the Open command, 
#  - change file type to text files (*.txt) and choose this file
#  - select tab as the delimeter, and click Finish.
# * use of product name is for identification only and is not an endorsement by USGS.
#
# Data for the following site is contained in this file:
#    06610505 Missouri River near Council Bluffs, IA 
# -----------------------------------------------------------------------------------
#
# Continuous data
#
Date-Time	Instantaneous turbidity
 	FNU
11/20/2009 13:00	25
11/20/2009 12:00	26
11/20/2009 11:00	23
11/20/2009 10:00	34
11/20/2009 09:00	24
11/20/2009 08:00	25
11/20/2009 07:00	26
11/20/2009 06:00	26
11/20/2009 05:00	31
11/20/2009 04:00	30
11/20/2009 03:00	31
11/20/2009 02:00	26
11/20/2009 01:00	24
11/20/2009 00:00	25
11/19/2009 23:00	28
11/19/2009 22:00	38
11/19/2009 21:00	42
11/19/2009 20:00	27
11/19/2009 19:00	33
11/19/2009 18:00	26
11/19/2009 17:00	28
11/19/2009 16:00	23
11/19/2009 15:00	23
11/19/2009 14:00	24
11/19/2009 13:00	25
11/19/2009 12:00	23
11/19/2009 11:00	23
11/19/2009 10:00	24
11/19/2009 09:00	24
11/19/2009 08:00	25
11/19/2009 07:00	24
11/19/2009 06:00	24
11/19/2009 05:00	25
11/19/2009 04:00	25
11/19/2009 03:00	25
11/19/2009 02:00	24
11/19/2009 01:00	25
11/19/2009 00:00	25
11/18/2009 23:00	25
11/18/2009 22:00	27
11/18/2009 21:00	27
11/18/2009 20:00	27
11/18/2009 19:00	27
11/18/2009 18:00	28
11/18/2009 17:00	29
11/18/2009 16:00	26
11/18/2009 15:00	27
11/18/2009 14:00	27
11/18/2009 13:00	26
11/18/2009 12:00	26
11/18/2009 11:00	26
11/18/2009 10:00	25
11/18/2009 09:00	25
11/18/2009 08:00	26
11/18/2009 07:00	26
11/18/2009 06:00	26
11/18/2009 05:00	26
11/18/2009 04:00	28
11/18/2009 03:00	27
11/18/2009 02:00	27
11/18/2009 01:00	31
11/18/2009 00:00	33
11/17/2009 23:00	35
11/17/2009 22:00	34
11/17/2009 21:00	36
11/17/2009 20:00	35
11/17/2009 19:00	44
11/17/2009 18:00	28
11/17/2009 17:00	28
11/17/2009 16:00	27
11/17/2009 15:00	26
11/17/2009 14:00	25
11/17/2009 13:00	27
11/17/2009 12:00	30
11/17/2009 11:00	26
11/17/2009 10:00	28
11/17/2009 09:00	26
11/17/2009 08:00	26
11/17/2009 07:00	26
11/17/2009 06:00	28
11/17/2009 05:00	30
11/17/2009 04:00	31
11/17/2009 03:00	30
11/17/2009 02:00	34
11/17/2009 01:00	36
11/17/2009 00:00	37
11/16/2009 23:00	35
11/16/2009 22:00	33
11/16/2009 21:00	32
11/16/2009 20:00	28
11/16/2009 19:00	30
11/16/2009 18:00	31
11/16/2009 17:00	30
11/16/2009 16:00	29
11/16/2009 15:00	33
11/16/2009 14:00	31
11/16/2009 13:00	31
11/16/2009 12:00	45
11/16/2009 11:00	28
11/16/2009 10:00	29
11/16/2009 09:00	28
11/16/2009 08:00	27
11/16/2009 07:00	28
11/16/2009 06:00	29
11/16/2009 05:00	28
11/16/2009 04:00	29
11/16/2009 03:00	32
11/16/2009 02:00	34
11/16/2009 01:00	36
11/16/2009 00:00	34
11/15/2009 23:00	36
11/15/2009 22:00	34
11/15/2009 21:00	34
11/15/2009 20:00	32
11/15/2009 19:00	34
11/15/2009 18:00	34
11/15/2009 17:00	33
11/15/2009 16:00	36
11/15/2009 15:00	34
11/15/2009 14:00	31
11/15/2009 13:00	31
11/15/2009 12:00	31
11/15/2009 11:00	31
11/15/2009 10:00	31
11/15/2009 09:00	30
11/15/2009 08:00	31
11/15/2009 07:00	31
11/15/2009 06:00	32
11/15/2009 05:00	33
11/15/2009 04:00	37
11/15/2009 03:00	39
11/15/2009 02:00	39
11/15/2009 01:00	41
11/15/2009 00:00	46
11/14/2009 23:00	54
11/14/2009 22:00	57
11/14/2009 21:00	50
11/14/2009 20:00	47
11/14/2009 19:00	44
11/14/2009 18:00	49
11/14/2009 17:00	35
11/14/2009 16:00	34
11/14/2009 15:00	35
11/14/2009 14:00	32
11/14/2009 13:00	35
11/14/2009 12:00	36
11/14/2009 11:00	34
11/14/2009 10:00	34
11/14/2009 09:00	39
11/14/2009 08:00	41
11/14/2009 07:00	37
11/14/2009 06:00	41
11/14/2009 05:00	44
11/14/2009 04:00	41
11/14/2009 03:00	40
11/14/2009 02:00	38
11/14/2009 01:00	37
11/14/2009 00:00	37
11/13/2009 23:00	35
11/13/2009 22:00	37
11/13/2009 21:00	43
11/13/2009 20:00	45
11/13/2009 19:00	41
11/13/2009 18:00	38
11/13/2009 17:00	38
11/13/2009 16:00	36
11/13/2009 15:00	39
11/13/2009 14:00	40
11/13/2009 13:00	41
11/13/2009 12:00	44
11/13/2009 11:00	41
11/13/2009 10:00	44
11/13/2009 09:00	44
11/13/2009 08:00	43
11/13/2009 07:00	39
11/13/2009 06:00	40
11/13/2009 05:00	39
11/13/2009 04:00	42
11/13/2009 03:00	38
11/13/2009 02:00	40
11/13/2009 01:00	44
11/13/2009 00:00	42
11/12/2009 23:00	38
11/12/2009 22:00	45
11/12/2009 21:00	47
11/12/2009 20:00	45
11/12/2009 19:00	42
