# Generated by Autoplot on Mon May 09 13:58:52 CDT 2022
# TITLE: RBSP-A/EMFISIS  electron density
# UNITS: cm**-3
 Epoch(UTC), density(cm**-3)
2018-01-30T00:39:42.120Z, 1766.3
2018-01-30T00:39:48.120Z, 1768.3
2018-01-30T00:39:54.620Z, 1771.8
2018-01-30T00:40:01.120Z, 1775.4
2018-01-30T00:40:07.120Z, 1777.3
2018-01-30T00:40:13.620Z, 1780.7
2018-01-30T00:40:19.620Z, 1782.7
2018-01-30T00:40:25.620Z, 1602.6
2018-01-30T00:40:32.120Z, 1604.5
2018-01-30T00:40:38.120Z, 1607.7
2018-01-30T00:40:44.120Z, 1792.6
2018-01-30T00:40:50.120Z, 1612.7
2018-01-30T00:40:56.120Z, 1614.0
2018-01-30T00:41:02.120Z, 1617.5
2018-01-30T00:41:08.620Z, 1620.4
2018-01-30T00:41:14.620Z, 1622.0
2018-01-30T00:41:20.620Z, 1625.0
2018-01-30T00:41:27.120Z, 1626.4
2018-01-30T00:41:33.120Z, 1629.5
2018-01-30T00:41:39.120Z, 1464.1
2018-01-30T00:41:45.120Z, 1467.4
2018-01-30T00:41:51.120Z, 1468.4
2018-01-30T00:41:57.120Z, 1471.4
2018-01-30T00:42:03.120Z, 1472.7
2018-01-30T00:42:09.120Z, 1475.4
2018-01-30T00:42:15.120Z, 1476.8
2018-01-30T00:42:21.120Z, 1479.3
2018-01-30T00:42:27.120Z, 1480.7
2018-01-30T00:42:33.120Z, 1483.2
2018-01-30T00:42:39.120Z, 1484.7
2018-01-30T00:42:45.120Z, 1487.1
2018-01-30T00:42:51.120Z, 1488.5
2018-01-30T00:42:57.120Z, 1339.5
2018-01-30T00:43:03.120Z, 1340.9
2018-01-30T00:43:09.120Z, 1343.1
2018-01-30T00:43:15.120Z, 1344.4
2018-01-30T00:43:21.120Z, 1346.7
2018-01-30T00:43:27.120Z, 1499.0
2018-01-30T00:43:33.120Z, 1501.4
2018-01-30T00:43:39.620Z, 1351.0
2018-01-30T00:43:45.620Z, 1353.5
2018-01-30T00:43:51.620Z, 1354.3
2018-01-30T00:43:57.620Z, 1356.6
2018-01-30T00:44:03.620Z, 1357.6
2018-01-30T00:44:09.620Z, 1359.6
2018-01-30T00:44:15.620Z, 1360.7
2018-01-30T00:44:21.621Z, 1362.6
