# Generated by Autoplot on Mon May 09 13:49:09 CDT 2022
# TITLE: RBSP-B/EMFISIS  electron density
# UNITS: cm**-3
 Epoch(UTC), density(cm**-3)
2018-01-30T00:14:16.803Z, 2026.3
2018-01-30T00:14:23.303Z, 1826.7
2018-01-30T00:14:29.803Z, 1828.5
2018-01-30T00:14:36.303Z, 1830.9
2018-01-30T00:14:42.803Z, 1832.3
2018-01-30T00:14:49.303Z, 1834.9
2018-01-30T00:14:56.303Z, 1653.7
2018-01-30T00:15:02.803Z, 1655.3
2018-01-30T00:15:09.303Z, 1657.6
2018-01-30T00:15:15.803Z, 1659.9
2018-01-30T00:15:22.303Z, 1494.8
2018-01-30T00:15:28.803Z, 1496.7
2018-01-30T00:15:35.303Z, 1499.4
2018-01-30T00:15:41.803Z, 1500.4
2018-01-30T00:15:48.303Z, 1502.5
2018-01-30T00:15:54.803Z, 1503.9
2018-01-30T00:16:01.303Z, 1505.7
2018-01-30T00:16:08.303Z, 1508.2
2018-01-30T00:16:14.803Z, 1509.0
2018-01-30T00:16:21.303Z, 1511.1
2018-01-30T00:16:27.803Z, 1513.4
2018-01-30T00:16:34.303Z, 1362.7
2018-01-30T00:16:40.803Z, 1365.1
2018-01-30T00:16:47.303Z, 1366.9
2018-01-30T00:16:53.803Z, 1519.0
2018-01-30T00:17:00.303Z, 1369.9
2018-01-30T00:17:06.803Z, 1370.5
2018-01-30T00:17:13.303Z, 1372.7
2018-01-30T00:17:20.303Z, 1374.4
2018-01-30T00:17:26.803Z, 1375.2
2018-01-30T00:17:33.304Z, 1377.2
2018-01-30T00:17:39.804Z, 1241.5
2018-01-30T00:17:46.304Z, 1379.8
2018-01-30T00:17:52.804Z, 1244.0
2018-01-30T00:17:59.304Z, 1245.8
2018-01-30T00:18:05.804Z, 1246.6
2018-01-30T00:18:12.304Z, 1385.7
2018-01-30T00:18:18.804Z, 1386.5
2018-01-30T00:18:25.304Z, 1388.0
2018-01-30T00:18:32.304Z, 1389.7
2018-01-30T00:18:38.804Z, 1253.0
2018-01-30T00:18:45.304Z, 1392.0
2018-01-30T00:18:51.804Z, 1393.3
2018-01-30T00:18:58.304Z, 1394.2
2018-01-30T00:19:04.804Z, 1395.7
2018-01-30T00:19:11.304Z, 1396.8
2018-01-30T00:19:17.804Z, 1397.9
2018-01-30T00:19:24.304Z, 1399.1
2018-01-30T00:19:30.804Z, 1399.9
2018-01-30T00:19:37.304Z, 1401.4
2018-01-30T00:19:44.304Z, 1265.0
2018-01-30T00:19:50.804Z, 1266.0
2018-01-30T00:19:57.304Z, 1267.1
2018-01-30T00:20:03.804Z, 1268.5
2018-01-30T00:20:10.304Z, 1269.3
2018-01-30T00:20:16.804Z, 1270.2
2018-01-30T00:20:23.304Z, 1271.8
2018-01-30T00:20:29.804Z, 1272.2
2018-01-30T00:20:36.304Z, 1273.5
2018-01-30T00:20:42.804Z, 1274.2
2018-01-30T00:20:49.304Z, 1275.1
2018-01-30T00:20:56.304Z, 1414.0
2018-01-30T00:21:02.804Z, 1414.4
2018-01-30T00:21:09.304Z, 1415.7
2018-01-30T00:21:15.804Z, 1416.9
2018-01-30T00:21:22.304Z, 1417.2
2018-01-30T00:21:28.804Z, 1418.6
2018-01-30T00:21:35.304Z, 1419.6
2018-01-30T00:21:41.804Z, 1420.1
2018-01-30T00:21:48.304Z, 1421.2
2018-01-30T00:21:54.804Z, 1421.5
2018-01-30T00:22:01.304Z, 1422.8
2018-01-30T00:22:08.304Z, 1423.8
2018-01-30T00:22:14.804Z, 1424.3
2018-01-30T00:22:21.304Z, 1425.3
2018-01-30T00:22:27.804Z, 1577.6
2018-01-30T00:22:34.304Z, 1578.1
2018-01-30T00:22:40.804Z, 1579.0
2018-01-30T00:22:47.304Z, 1580.0
2018-01-30T00:22:53.804Z, 1580.4
2018-01-30T00:23:00.304Z, 1581.4
2018-01-30T00:23:06.804Z, 1748.4
2018-01-30T00:23:13.304Z, 1749.3
2018-01-30T00:23:20.304Z, 1750.1
2018-01-30T00:23:26.804Z, 1750.6
2018-01-30T00:23:33.304Z, 1751.5
2018-01-30T00:23:39.804Z, 1752.1
2018-01-30T00:23:46.304Z, 1586.2
2018-01-30T00:23:52.804Z, 1587.0
2018-01-30T00:23:59.304Z, 1587.7
2018-01-30T00:24:05.805Z, 1588.3
2018-01-30T00:24:12.305Z, 1588.9
2018-01-30T00:24:18.805Z, 1589.5
2018-01-30T00:24:25.305Z, 1590.2
2018-01-30T00:24:32.305Z, 1757.4
2018-01-30T00:24:38.805Z, 1758.0
2018-01-30T00:24:45.305Z, 1758.6
2018-01-30T00:24:51.805Z, 1759.5
2018-01-30T00:24:58.305Z, 1759.8
2018-01-30T00:25:04.805Z, 1943.7
2018-01-30T00:25:11.305Z, 1761.3
2018-01-30T00:25:17.805Z, 1761.5
2018-01-30T00:25:24.305Z, 1762.4
2018-01-30T00:25:30.805Z, 1945.9
