# Time, Best Costume, Number of kids
2025-10-31T23:30:06.731Z, Starfish,2
2025-10-31T23:39:17.983Z, marionette puppet,3
2025-10-31T23:39:31.776Z, Mouse,2
2025-10-31T23:47:05.165Z , Turdaxious (D&D Creature),2
2025-10-31T23:49:45.531Z , Yellow,4
2025-10-31T23:49:56.545Z , Princess,2
2025-10-31T23:50:45.894Z , Banana,6
2025-10-31T23:50:54.677Z , Warewolf ,6
2025-10-31T23:52:23.486Z , Harry potter like thing,4
2025-10-31T23:55:11.982Z , princess,1
2025-10-31T23:58:21.394Z , Hamilton & Aaron Burr ,2
2025-11-01T00:06:20.244Z , Death Creature ,1
2025-11-01T00:07:43.706Z , Beatlejuice ,3
2025-11-01T00:12:06.314Z , Peter Pan ,1
2025-11-01T00:15:43.174Z , Soccer Player ,2
2025-11-01T00:15:55.285Z , Laughing girl no costume ,1
2025-11-01T00:21:34.374Z , Beatlejuice again ,3
2025-11-01T00:23:23.613Z , Mandor (like Bubba Fet) ,1
2025-11-01T00:48:14.029Z , Army Man ,6
2025-11-01T00:52:25.418Z , Michael Myers (Holloween Movie Killer) ,2
2025-11-01T00:54:07.363Z , Harry Dubuois (Video Game) ,1
